SpecimenID,Replicates,S,Structure,F,Filter,Rep,ParticleSize_nm,Penetration_pct
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,400,59.184584
S3F1_R2,S3F12,3,Two-layer woven,1,Activated carbon,2,30,15.406374
S3F1_R2,S3F12,3,Two-layer woven,1,Activated carbon,2,40,20.719774
S3F1_R2,S3F12,3,Two-layer woven,1,Activated carbon,2,60,31.592318
S3F1_R2,S3F12,3,Two-layer woven,1,Activated carbon,2,80,37.531474
S3F1_R2,S3F12,3,Two-layer woven,1,Activated carbon,2,150,50.095832
S3F1_R2,S3F12,3,Two-layer woven,1,Activated carbon,2,250,59.385417
S3F1_R2,S3F12,3,Two-layer woven,1,Activated carbon,2,300,58.725344
S3F1_R2,S3F12,3,Two-layer woven,1,Activated carbon,2,400,57.972148
S3F1_R3,S3F13,3,Two-layer woven,1,Activated carbon,3,30,13.739974
S3F1_R3,S3F13,3,Two-layer woven,1,Activated carbon,3,40,18.542737
S3F1_R3,S3F13,3,Two-layer woven,1,Activated carbon,3,60,27.023597
S3F1_R3,S3F13,3,Two-layer woven,1,Activated carbon,3,80,33.254712
S3F1_R3,S3F13,3,Two-layer woven,1,Activated carbon,3,150,45.831745
S3F1_R3,S3F13,3,Two-layer woven,1,Activated carbon,3,250,53.890971
S3F1_R3,S3F13,3,Two-layer woven,1,Activated carbon,3,300,55.641498
S3F1_R3,S3F13,3,Two-layer woven,1,Activated carbon,3,400,54.740452
S3F1_R4,S3F14,3,Two-layer woven,1,Activated carbon,4,30,14.244773
S3F1_R4,S3F14,3,Two-layer woven,1,Activated carbon,4,40,18.331213
S3F1_R4,S3F14,3,Two-layer woven,1,Activated carbon,4,60,27.203268
S3F1_R4,S3F14,3,Two-layer woven,1,Activated carbon,4,80,31.970168
S3F1_R4,S3F14,3,Two-layer woven,1,Activated carbon,4,150,42.860626
S3F1_R4,S3F14,3,Two-layer woven,1,Activated carbon,4,250,50.036545
S3F1_R4,S3F14,3,Two-layer woven,1,Activated carbon,4,300,52.671496
S3F1_R4,S3F14,3,Two-layer woven,1,Activated carbon,4,400,51.396364
S3F1_R5,S3F15,3,Two-layer woven,1,Activated carbon,5,30,13.602338
S3F1_R5,S3F15,3,Two-layer woven,1,Activated carbon,5,40,18.318786
S3F1_R5,S3F15,3,Two-layer woven,1,Activated carbon,5,60,26.860854
S3F1_R5,S3F15,3,Two-layer woven,1,Activated carbon,5,80,31.862155
S3F1_R5,S3F15,3,Two-layer woven,1,Activated carbon,5,150,45.587212
S3F1_R5,S3F15,3,Two-layer woven,1,Activated carbon,5,250,52.748727
S3F1_R5,S3F15,3,Two-layer woven,1,Activated carbon,5,300,54.807363
S3F1_R5,S3F15,3,Two-layer woven,1,Activated carbon,5,400,53.331894
S3F2_R1,S3F21,3,Two-layer woven,2,Meltblown,1,30,5.805649
S3F2_R1,S3F21,3,Two-layer woven,2,Meltblown,1,40,8.189894
S3F2_R1,S3F21,3,Two-layer woven,2,Meltblown,1,60,9.582989
S3F2_R1,S3F21,3,Two-layer woven,2,Meltblown,1,80,9.165866
S3F2_R1,S3F21,3,Two-layer woven,2,Meltblown,1,150,7.006506
S3F2_R1,S3F21,3,Two-layer woven,2,Meltblown,1,250,5.101472
S3F2_R1,S3F21,3,Two-layer woven,2,Meltblown,1,300,4.368535
S3F2_R1,S3F21,3,Two-layer woven,2,Meltblown,1,400,3.262423
S3F2_R2,S3F22,3,Two-layer woven,2,Meltblown,2,30,8.685125
S3F2_R2,S3F22,3,Two-layer woven,2,Meltblown,2,40,10.791434
S3F2_R2,S3F22,3,Two-layer woven,2,Meltblown,2,60,11.590683
S3F2_R2,S3F22,3,Two-layer woven,2,Meltblown,2,80,10.203455
S3F2_R2,S3F22,3,Two-layer woven,2,Meltblown,2,150,7.270003
S3F2_R2,S3F22,3,Two-layer woven,2,Meltblown,2,250,5.416867
S3F2_R2,S3F22,3,Two-layer woven,2,Meltblown,2,300,4.661664
S3F2_R2,S3F22,3,Two-layer woven,2,Meltblown,2,400,3.384115
S3F2_R3,S3F23,3,Two-layer woven,2,Meltblown,3,30,7.756918
S3F2_R3,S3F23,3,Two-layer woven,2,Meltblown,3,40,10.364896
S3F2_R3,S3F23,3,Two-layer woven,2,Meltblown,3,60,11.739631
S3F2_R3,S3F23,3,Two-layer woven,2,Meltblown,3,80,11.23775
S3F2_R3,S3F23,3,Two-layer woven,2,Meltblown,3,150,8.445378
S3F2_R3,S3F23,3,Two-layer woven,2,Meltblown,3,250,6.242625
S3F2_R3,S3F23,3,Two-layer woven,2,Meltblown,3,300,5.44265
S3F2_R3,S3F23,3,Two-layer woven,2,Meltblown,3,400,4.028925
