SpecimenID,Replicates,S,Structure,F,Filter,Rep_x,ParticleSize_nm,Penetration_pct,DeltaP_Pa,SpecBase,Rep_y
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,30,20.999378,83.72384749999999,S2F1,3
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,40,29.88862,83.72384749999999,S2F1,3
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,60,45.22273,83.72384749999999,S2F1,3
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,80,53.319555,83.72384749999999,S2F1,3
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,150,66.409406,83.72384749999999,S2F1,3
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,250,72.785953,83.72384749999999,S2F1,3
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,300,75.35908,83.72384749999999,S2F1,3
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,400,74.643984,83.72384749999999,S2F1,3
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,30,23.314909,70.65491856666667,S2F1,4
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,40,32.899151,70.65491856666667,S2F1,4
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,60,49.458537,70.65491856666667,S2F1,4
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,80,56.559512,70.65491856666667,S2F1,4
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,150,69.51697,70.65491856666667,S2F1,4
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,250,74.228099,70.65491856666667,S2F1,4
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,300,76.685894,70.65491856666667,S2F1,4
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,400,76.269675,70.65491856666667,S2F1,4
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,30,20.906078,73.02076081666665,S2F1,5
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,40,30.213042,73.02076081666665,S2F1,5
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,60,46.873918,73.02076081666665,S2F1,5
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,80,52.90315,73.02076081666665,S2F1,5
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,150,66.817413,73.02076081666665,S2F1,5
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,250,76.553512,73.02076081666665,S2F1,5
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,300,74.528012,73.02076081666665,S2F1,5
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,400,74.027073,73.02076081666665,S2F1,5
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,30,9.112867,110.4084233166667,S2F2,1
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,40,12.378526,110.4084233166667,S2F2,1
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,60,17.567925,110.4084233166667,S2F2,1
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,80,19.507032,110.4084233166667,S2F2,1
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,150,23.698039,110.4084233166667,S2F2,1
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,250,24.3389,110.4084233166667,S2F2,1
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,300,22.808805,110.4084233166667,S2F2,1
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,400,19.908979,110.4084233166667,S2F2,1
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,30,5.683911,106.24797326666665,S2F2,2
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,40,8.530413,106.24797326666665,S2F2,2
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,60,12.104855,106.24797326666665,S2F2,2
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,80,13.884838,106.24797326666665,S2F2,2
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,150,16.388948,106.24797326666665,S2F2,2
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,250,16.305845,106.24797326666665,S2F2,2
